230206,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10
SPEC,3,10,5,5,10,10,7,7,20,20
USL,3.01,10.1,5.02,5.02,10.1,10.1,7.05,7.05,20.2,20.2
LSL,2.99,9.9,4.98,4.98,9.9,9.9,6.95,6.95,19.8,19.8
1,2.999,10.04,5.007,5.006,9.97,10.02,7,7.004,20.02,19.96
2,3.005,9.95,4.993,5.003,10,10.02,7.001,6.997,19.98,19.94
3,2.994,9.99,4.997,5.006,10,10.01,6.993,7.001,19.95,20.07
4,2.999,10,5.003,4.999,10.04,10,7,6.998,19.97,19.94
5,3.006,9.98,5.002,5,9.94,9.98,6.999,6.995,19.96,19.97
6,3.001,10.04,5,5.004,10.06,9.96,7.006,6.996,20.04,20.03
7,2.991,10.05,5.008,5.001,9.96,10.01,6.999,6.999,20.07,20
8,3.005,10,4.997,5,9.97,9.99,6.999,7.001,20.04,19.97
9,2.998,10.07,5.001,5.002,10,10.02,7.004,7.007,19.99,19.95
10,3.002,10.07,4.999,4.992,9.93,9.99,6.995,7.003,19.96,19.97
11,3.007,9.93,5.006,4.996,9.96,10.01,7.006,7,20.03,20.08
12,2.999,10.03,4.998,4.998,9.96,9.96,6.995,6.998,20.01,19.97
13,3.001,9.98,4.999,5.006,9.94,9.94,7.007,6.996,20.05,19.99
14,2.995,10.06,5.002,5.006,9.99,9.98,7,7.009,20,19.97
15,2.997,10.01,4.995,4.998,9.99,10.02,7.006,7.001,20.02,20.04
16,3.001,9.92,4.997,5.006,10.06,10.04,7.003,7.001,20,19.98
17,3.005,10.09,4.996,4.998,10.05,9.99,7,6.996,19.92,19.93
18,2.997,9.93,5.001,5,10.05,10.02,7.006,7.004,19.92,20.01
19,3,10.05,4.998,5.003,10.07,10.02,7.004,7.001,20.02,20.01
20,3.001,9.99,5.006,5,9.99,10.01,7.003,6.999,20,20
21,2.996,10.07,4.992,5.006,9.99,10.06,7.002,6.999,19.94,19.97
22,2.996,9.97,5.009,5.003,10.06,9.96,6.998,7.003,19.98,20.02
23,2.997,9.99,4.997,4.993,9.98,9.99,6.998,7,19.94,20.01
24,3,10,4.995,5.004,9.96,10.06,7.007,7,19.93,20.04
25,3.002,9.96,4.994,4.997,9.97,10.03,7,6.994,20.04,20
26,2.994,9.98,4.999,5.007,10,10.06,7.005,7.008,20.07,19.96
27,2.996,10,4.999,5.002,9.96,10.04,7.002,6.996,20.03,20.02
28,3.001,10.04,5.004,4.993,10.09,9.95,7.001,7.004,19.99,19.93
29,3.005,10,5.001,4.999,9.99,10,7.001,6.996,19.98,20.03
30,3.003,10.06,4.992,4.996,10.02,10.01,6.995,6.997,19.97,19.98
31,2.996,9.97,4.999,5.004,9.95,10.07,7.001,6.992,20,19.93
32,2.995,9.99,4.999,5.007,9.97,10.01,7.006,7.008,20,20.07
