230210,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10
SPEC,3,10,5,5,10,10,7,7,20,20
USL,3.01,10.1,5.02,5.02,10.1,10.1,7.05,7.05,20.2,20.2
LSL,2.99,9.9,4.98,4.98,9.9,9.9,6.95,6.95,19.8,19.8
1,2.997,9.98,4.995,5.004,10.01,10.05,6.999,6.999,19.99,19.97
2,3.006,10.06,5.002,5,10.02,9.98,7,6.997,20.08,20.02
3,3,9.98,5.002,4.994,9.99,9.96,7.008,7.001,20.06,19.98
4,2.997,9.95,5.004,5.002,9.97,10.03,6.998,6.993,19.97,19.97
5,3.001,10,4.999,5.005,9.92,10.02,6.996,6.994,20.02,19.97
6,2.997,10,5,4.994,9.99,10.01,7.001,6.992,20.01,20
7,3.004,10.02,4.997,5,9.94,9.98,7.007,6.997,20.07,20.03
8,2.999,10.06,4.998,4.998,10.02,9.95,6.999,7.003,19.96,20.01
9,2.993,9.95,5.006,5.003,9.93,10.05,7.001,7.006,20.06,19.99
10,2.999,9.91,4.998,4.995,9.95,10,7.004,7.006,20.03,19.95
11,3.006,9.99,4.999,5.005,10,9.98,6.994,7.004,20.08,19.96
12,3.002,9.95,5.001,4.999,9.98,9.97,6.999,7.006,20.02,20.01
13,3.002,10.08,4.993,4.998,10.02,10.04,7.001,7.007,19.93,20.01
14,2.996,9.99,4.997,4.995,9.96,9.98,7.004,7,20.08,19.97
15,3.004,9.99,5.005,4.999,9.98,9.91,7,6.999,20.01,20.08
16,3,9.98,4.998,5.004,9.92,9.99,6.994,6.995,20.02,20.01
17,3.001,9.98,4.997,5.002,10.05,10.06,7.004,7,20.01,19.99
18,3.002,10.04,5.005,5.007,9.99,9.92,7.006,6.999,20.04,19.96
19,3.001,9.94,4.991,4.999,9.99,9.93,7.005,6.995,20.05,19.99
20,2.997,9.97,5.006,5.003,10.01,9.99,7.005,7.001,20.06,20.01
21,3.004,10.03,4.994,4.995,10.03,10.03,6.999,6.993,19.95,20.04
22,3.003,10.06,4.992,5.007,9.95,9.94,7.001,7.001,20,20.06
23,2.999,10.03,4.999,5,10.01,10.05,6.991,7.001,20.01,20.01
24,2.997,9.99,4.998,5.004,10.07,9.97,7,7,20.08,19.97
25,3.003,9.94,5,5.006,9.96,9.99,7.005,6.995,19.97,19.94
26,2.994,9.93,5.001,4.999,9.94,9.97,6.996,6.997,20.03,20.03
27,2.999,9.99,5.006,4.995,9.96,10.07,7.001,7.004,20,20.01
28,2.996,9.98,5,5,10.01,10.02,6.999,7.003,20.01,20.01
29,3.005,10.03,4.996,4.995,10,9.97,7.003,7.001,19.97,20.01
30,3.004,9.94,5.001,4.996,9.99,9.97,7,7.005,19.99,19.99
31,3.001,9.99,5.002,5.004,10.01,9.93,7.005,7.001,19.97,20.02
32,2.998,10.02,4.995,5.004,10.05,10.01,7.003,6.997,19.96,20.07
